Annkut,23.01267116,72.5139663,4.1,"SanidhyaA,100FtRoad,NearPlatinumHall,Anandnagar,PrahladNagar,Ahmedabad"
AnwarEHilal,23.0186738,72.5859236,3.6,"4178/1,OppositeMunicipalCorporation,Nadiawad,Gollimda,Jamalpur,Ahmedabad"
ApnaAddaBarbequeRollsandTikkas,23.03713676,72.55468525,4,"OppositeH.L.College,Navrangpura,Ahmedabad"
ApnaParathaHouse,23.0421859,72.49413908,3.2,"SBRSocial,BesideSattvaVikasSchool,SindhuBhavanRoad,Bodakdev,Ahmedabad"
ApnaPunjabParattha,23.03468972,72.52769586,4.2,"GroundFloor,ShaktiSquare,OppositeManagementEnclave,HanumanMandir,Vastrapur,Ahmedabad"
AppetizeTheBistro,23.03019879,72.52692774,4.2,"107,1stFloor,SamanComplex,NearMansiCrossRoads,Satellite,Ahmedabad"
Appiitto9Cafe,23.0447888,72.4987435,4.1,"GroundFloor,TimesSquare2,NearAvalonHotel,SindhuBhavanRoad,Bodakdev,Ahmedabad"
ApsaraIceCreams,23.039547,72.512943,4.2,"Shop3,CorporateHouse,Bodakdev,Ahmedabad"
ArabianGrill,23.02005592,72.50595924,3.5,"FoodTruckPark,OppositeKarnavatiClub,SGHighway,Satellite,Ahmedabad"
ArabianHub,23.02003494,72.50589151,3.4,"FoodTruckPark,SGHighway,OppositeKarnavatiClub,Satellite,Ahmedabad"
ArabianKnife,23.02008431,72.50603165,4.1,"FoodTruckPark,ServiceRoad,S.G.Highway,OppositeKarnavatiClub,Satellite,Ahmedabad"
ArivaMultiCuisine-AaryaGrand,23.0753762,72.52272371,3.7,"AaryaGrand,KargilPetrolPumpLane,S.GRoad,Sola,Ahmedabad"
Aroma-CrownePlaza,23.01458443,72.50432543,3.9,"CrownePlaza,Shapath5,SGRoad,Satellite,Ahmedabad"
Artisan-RegentaAntarim,23.03322938,72.55687661,4.1,"RegentaCentralAntarim,BetweenGirishColdrinkandXaviersCorner,OffCGRoad,Navrangpura,Ahmedabad"
AryanFastFood,23.10113862,72.58713126,4,"A-5,VajendraParkComplex,OppositeONGC,SaraswatiNagar,Chandkheda,Ahmedabad"
AshapuraBhajipavCorner,23.10020585,72.59008953,3.2,"AhmedabadFoodPark,OppositeD-Mart,Chandkheda,Ahmedabad"
AsharfiKulfi,22.99710013,72.6062591,3.6,"AmprapaliBuilding,NearBankOfBaroda,ManiNagarAhmedabad"
AsharfiKulfi,23.0465848,72.53358766,3.7,"10,VeemurtiComplex,OppositeOxfordTower,GurukulRoad,Memnagar,Ahmedabad"
AsharfiKulfi,23.02328669,72.55560961,3.9,"B7,WhiteHouse,PanchvatiCrossRoads,OppositeBankofIndia,Ahmedabad"
AshokPanHouse,23.03842336,72.5133286,3.2,"06,KasturiComplex,OppositeShraddhaPetrolPump,Bodakdev,Ahmedabad"
